PBP_BP_ID,"TIMESTAMPDIFF(MONTH ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(DAY ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(HOUR ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(MINUTE ,PBP_START_DATE,PBP_END_DATE)"
1,11,339,8138,488310
2,11,339,8138,488310
3,11,339,8138,488310
5,24,755,18120,1087200
6,24,749,17976,1078560
7,29,894,21457,1287420
10,2,90,2161,129660
15,19,589,14151,849087
21,49,1520,36481,2188860
25,7,221,5311,318712
26,25,779,18697,1121820
27,7,222,5350,321055
28,11,360,8651,519114
29,35,1085,26040,1562400
30,24,741,17795,1067709
31,25,763,18322,1099320
33,24,749,17976,1078560
34,24,741,17795,1067709
35,10,305,7320,439200
36,7,226,5447,326857
40,24,741,17795,1067708
41,24,745,17880,1072800
42,23,708,16992,1019520
43,36,1102,26448,1586880
45,38,1171,28105,1686300
49,170,5197,124741,7484517
50,7,235,5648,338920
51,41,1261,30265,1815900
52,6,189,4550,273057
53,7,221,5318,319138
54,6,211,5076,304607
55,6,182,4380,262847
56,11,364,8750,525053
58,12,377,9048,542880
59,12,378,9079,544792
62,25,788,18913,1134780
66,7,228,5495,329700
70,6,190,4575,274508
73,5,177,4263,255788
74,22,693,16655,999300
75,10,330,7943,476580
86,10,318,7640,458446
87,13,421,10120,607228
88,13,421,10120,607228
97,9,288,6922,415373
113,1,35,846,50762
114,3,97,2350,141037
115,4,136,3287,197220
116,4,133,3198,191931
119,5,172,4128,247680
120,0,23,568,34088
121,3,115,2760,165600
122,5,154,3702,222122
123,1,33,800,48036
124,6,211,5072,304363
125,2,85,2040,122400
127,34,1059,25416,1524960
128,5,170,4095,245753
130,0,7,178,10680
132,0,20,487,29276
133,8,266,6385,383100
134,8,266,6385,383100
135,8,266,6385,383100
136,8,255,6121,367260
137,8,266,6385,383100
138,8,264,6337,380220
139,8,266,6385,383100
140,8,266,6385,383100
141,3,109,2623,157391
142,3,96,2321,139297
148,18,571,13705,822300
151,5,175,4201,252060
152,5,176,4225,253500
153,5,173,4153,249180
154,0,4,104,6245
156,5,170,4081,244860
157,5,173,4153,249180
158,5,170,4081,244860
159,5,172,4129,247740
160,5,171,4105,246300
162,0,3,80,4815
163,5,172,4129,247740
165,5,172,4129,247740
166,5,171,4105,246300
169,8,269,6456,387360
170,5,173,4153,249180
171,8,246,5904,354240
172,5,172,4129,247740
173,5,172,4129,247740
174,5,177,4249,254940
182,0,-1,-34,-2057
291,3,121,2914,174861
297,2,73,1766,105998
300,2,67,1622,97358
301,14,431,10362,621744
303,19,600,14400,864000
305,14,431,10362,621741
309,13,407,9783,586996
