PLP_LP_ID,"TIMESTAMPDIFF(MONTH ,PLP_START_DATE,PLP_END_DATE)","TIMESTAMPDIFF(DAY ,PLP_START_DATE,PLP_END_DATE)","TIMESTAMPDIFF(HOUR ,PLP_START_DATE,PLP_END_DATE)","TIMESTAMPDIFF(MINUTE ,PLP_START_DATE,PLP_END_DATE)"
2,11,339,8136,488160
3,16,492,11808,708480
21,8,255,6143,368608
25,22,689,16559,993540
26,7,238,5726,343597
104,12,384,9225,553516
114,5,181,4358,261494
116,13,425,10215,612952
123,0,0,5,339
131,5,178,4286,257188
335,22,680,16328,979722
284,18,560,13450,807026
283,18,564,13548,812896
152,31,954,22908,1374535
154,6,182,4382,262977
156,6,182,4383,262980
157,10,304,7307,438439
158,10,310,7451,447100
159,6,183,4400,264007
161,10,310,7451,447074
162,6,183,4400,264007
164,6,183,4400,264008
166,17,524,12592,755544
179,7,218,5244,314652
180,7,218,5244,314657
184,7,218,5244,314661
186,7,218,5244,314658
193,5,179,4318,259133
197,10,308,7403,444221
200,7,218,5240,314450
215,7,222,5342,320544
216,6,208,5000,300000
218,11,344,8271,496265
219,6,208,4999,299997
221,6,208,4999,299998
222,6,208,4999,299997
224,7,220,5294,317657
225,11,358,8607,516428
226,6,182,4383,262980
229,10,308,7403,444221
231,10,322,7735,464156
234,7,218,5240,314450
239,11,339,8143,488636
241,10,333,8000,480005
242,7,224,5376,322596
245,7,224,5376,322600
247,11,338,8120,487204
248,7,218,5244,314657
250,7,218,5244,314656
251,7,218,5244,314657
252,6,196,4704,282266
253,11,357,8580,514805
254,6,210,5040,302407
262,7,224,5390,323456
264,47,1439,34547,2072866
265,7,217,5222,313321
273,9,273,6566,393994
324,19,596,14319,859151
274,9,273,6566,393994
275,9,282,6783,406997
281,5,178,4286,257172
286,5,174,4196,251819
288,10,322,7738,464296
289,5,172,4143,248598
291,7,218,5240,314454
292,7,218,5240,314452
294,5,165,3974,238458
300,5,178,4286,257188
302,6,198,4767,286029
306,6,202,4857,291431
320,17,532,12775,766510
325,6,208,4992,299544
327,7,218,5240,314457
329,11,356,8554,513241
330,11,347,8336,500198
331,9,302,7259,435558
333,9,302,7259,435580
336,18,568,13644,818659
337,18,568,13644,818659
338,18,564,13548,812918
339,18,564,13548,812902
341,18,564,13548,812900
342,7,227,5461,327690
343,6,208,5000,300000
345,6,208,4999,299997
344,5,168,4045,242749
347,6,208,4999,299995
346,23,723,17367,1042045
356,5,168,4045,242749
362,12,380,9127,547667
363,34,1050,25215,1512943
364,12,372,8942,536559
365,11,359,8628,517728
366,7,223,5366,322009
368,5,167,4029,241793
369,5,172,4142,248530
370,5,168,4045,242748
371,23,704,16908,1014509
374,5,173,4160,249608
