LPTS_LPT_ID,COUNT(EX_TITLE)
2,2
3,2
7,4
25,1
40,1
43,2
44,1
59,1
62,2
70,7
71,1
72,1
74,2
75,7
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
108,5
113,6
121,10
125,1
126,1
127,1
128,3
142,2
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,3
167,3
168,5
169,3
170,4
171,2
172,3
173,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
193,2
200,2
201,2
202,2
203,1
204,2
205,3
206,2
207,2
218,2
219,2
220,5
221,2
227,3
228,2
229,3
230,3
231,3
232,3
233,3
234,3
235,3
246,3
247,3
248,4
249,4
250,4
251,1
252,1
257,1
258,1
259,1
260,12
261,4
262,3
263,3
264,3
265,3
277,8
278,4
279,7
280,8
281,3
282,7
283,7
284,2
289,2
290,2
291,3
292,3
293,3
294,3
295,4
296,2
297,2
298,4
299,2
300,3
301,3
302,3
303,3
304,4
305,3
306,3
314,1
315,30
337,4
338,4
339,4
340,12
341,4
379,2
380,3
385,1
386,1
387,1
388,4
411,1
418,3
419,3
426,5
427,3
428,2
429,10
430,5
431,5
434,1
454,4
455,12
456,8
461,4
462,3
463,2
464,8
469,5
470,3
471,1
472,6
477,5
478,5
479,5
480,5
481,5
482,5
483,5
484,5
485,4
486,5
487,5
488,5
489,9
490,9
491,9
492,4
493,4
494,4
495,5
496,5
497,5
498,5
499,5
500,4
501,1
502,1
503,1
504,1
505,1
506,5
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,6
517,7
518,13
519,5
520,7
521,9
523,3
524,3
525,11
526,11
527,7
528,5
529,4
530,5
531,5
532,5
533,5
534,3
535,3
545,7
546,5
547,3
548,5
549,5
550,5
551,5
552,6
553,5
554,6
555,5
556,4
557,3
558,4
559,3
561,2
562,2
563,6
564,9
565,7
566,1
567,1
569,12
571,7
572,12
573,6
574,12
575,12
576,12
577,6
578,7
579,7
580,7
581,7
582,5
583,6
584,3
585,5
586,5
587,5
588,5
589,3
590,3
591,5
592,3
593,3
595,1
596,1
597,1
598,1
599,10
606,7
610,6
628,2
629,6
634,3
637,2
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,4
695,4
696,4
697,4
699,4
700,4
702,3
706,1
711,4
718,3
719,3
720,4
721,2
722,2
723,4
724,2
737,3
742,1
745,1
779,5
780,1
781,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
861,3
863,4
871,3
877,1
897,3
903,1
907,4
912,1
940,2
941,2
942,3
943,2
944,2
945,1
946,1
947,1
948,2
949,3
950,1
951,1
952,3
953,3
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,2
967,2
968,2
969,1
970,1
971,1
973,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
990,1
991,9
992,6
993,5
994,4
997,3
998,3
999,9
1000,3
1001,7
1002,6
1003,5
1004,4
1005,6
1006,7
1026,8
1027,1
1028,9
1045,3
1046,3
1067,8
1081,1
1093,1
1124,5
1125,2
1129,1
1133,12
1134,4
1135,1
1139,12
1140,4
1142,7
1154,1
1157,4
1159,3
1164,6
1171,2
1172,2
1173,2
1174,2
1180,3
1181,4
1202,3
1203,3
1225,8
1238,1
1239,1
1240,1
1265,1
1266,1
1268,5
1269,1
1270,3
1276,1
1277,1
1279,2
1280,2
1281,2
1282,2
1283,4
1284,1
1285,1
1286,1
1287,3
1288,4
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,3
1296,3
1305,3
1306,4
1307,1
1311,1
1312,1
1321,2
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,2
1343,2
1345,1
1346,1
1347,1
1363,3
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,2
1373,2
1376,1
1380,5
1381,3
1382,1
1383,1
1384,1
1385,1
1386,3
1387,1
1390,1
1391,1
1393,1
1394,1
1395,1
1396,4
1400,2
1402,2
1404,2
1407,10
1408,2
1413,1
1417,5
1418,3
1422,1
1423,1
1424,1
1425,7
1426,1
1427,4
1428,1
1429,1
1430,1
1431,1
1432,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1442,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1453,1
1454,2
1455,2
1456,2
1457,2
1458,10
1460,1
1461,1
1462,1
1463,3
1464,1
1465,1
1466,1
1469,1
1474,1
1475,1
1476,4
1477,2
1480,1
1485,6
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1516,1
1522,10
1525,10
1526,5
1527,5
1596,4
1600,3
1601,2
1602,4
1604,6
1613,1
1614,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,2
1631,6
1633,1
1635,1
1638,6
1639,1
1642,5
1643,3
1644,3
1652,3
1667,3
1668,3
1669,1
1674,1
1675,1
1676,1
1677,1
1683,4
1685,1
1686,1
1687,1
1688,1
1689,1
1690,1
1695,1
1696,1
1697,1
1698,1
1699,1
1701,1
1702,1
1704,1
1707,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1724,1
1725,10
1726,1
1727,1
1728,1
1731,2
1732,1
1733,1
1734,5
1735,4
1736,2
1737,2
1738,1
1740,2
1742,5
1752,1
1760,2
1761,2
1762,2
1763,1
1764,1
1765,1
1766,1
1767,2
1768,1
1769,4
1770,3
1771,3
1773,4
1774,4
1775,4
1776,4
1785,2
1786,2
1787,2
1788,1
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,2
1796,1
1797,3
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,5
1812,6
1813,1
1816,1
1823,8
1834,1
1838,7
1840,9
1843,1
1844,1
1852,1
1853,1
1854,1
1858,2
1866,1
1867,1
1868,1
1869,1
1870,1
1871,3
1872,3
1873,1
1876,10
1877,5
1882,1
1883,1
1884,8
1885,5
1891,1
1892,1
1893,1
1895,9
1896,5
1900,3
1906,3
1908,1
1910,7
1912,1
1913,2
1914,2
1915,1
1924,3
1933,3
1936,1
1937,1
1938,1
1942,1
1943,1
1960,2
1961,2
1962,1
1963,1
1965,2
1966,2
1967,5
1968,3
1969,3
1970,3
1971,4
1972,1
1973,1
1974,2
1978,1
1979,1
1980,4
1981,5
1982,1
1983,1
1984,2
1985,4
1986,2
1987,2
1988,2
1989,1
1990,1
1991,1
1992,1
1993,1
1994,3
1995,1
1996,1
1997,1
1999,2
2000,2
2001,2
2008,1
2009,1
2010,3
2011,3
2012,1
2013,3
2019,10
2020,6
2021,5
2022,4
2023,1
2024,3
2025,3
2039,10
2040,6
2047,1
2049,7
2050,7
2058,1
2059,1
2060,2
2061,1
2062,1
2064,3
2067,2
2068,2
2069,1
2072,11
2074,2
2076,3
2078,1
2079,1
2080,1
2085,3
2088,1
2089,1
2090,1
2091,1
2092,1
2094,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,3
2105,1
2106,8
2107,8
2108,7
2109,6
2115,1
2116,1
2117,1
2152,2
2153,6
2164,2
2169,1
2173,1
2179,1
2195,3
2197,3
2198,3
2200,2
2202,2
2205,7
2206,3
2207,4
2208,2
2209,2
2213,1
2214,1
2215,1
2216,1
2217,1
2218,1
2219,4
2224,1
2225,4
2226,4
2227,4
2228,4
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,4
2244,4
2246,1
2247,4
2248,4
2249,4
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,1
2265,1
2268,3
2269,2
2270,2
2271,5
2272,2
2273,5
2274,5
2277,5
2278,2
2279,4
2280,1
2281,9
2283,2
2284,2
2286,1
2287,1
2288,2
2290,10
2291,4
2295,10
2302,1
2303,7
2304,5
2305,1
2306,1
2308,1
2310,5
2311,5
2312,1
2313,9
2316,1
2317,1
2318,1
2319,1
2320,1
2321,1
2330,1
2333,2
2334,1
2335,1
2336,1
2337,1
2338,4
2339,1
2340,1
2341,1
2342,1
2343,1
2344,1
2345,1
2348,1
2352,1
2353,2
2354,2
2355,1
2356,1
2357,1
2358,1
2359,4
2360,4
2362,1
2363,2
2364,2
2367,1
2368,1
2369,4
2370,3
2371,1
2372,2
2373,2
2374,2
2375,1
2376,1
2377,1
2378,7
2379,7
2380,1
2381,1
2382,1
2383,1
2384,1
2385,2
2386,2
2387,2
2388,1
2390,1
2391,1
2392,3
2394,1
2395,1
2396,1
2397,1
2398,1
2400,3
2401,5
2402,1
2403,1
2404,1
2405,5
2406,3
2407,1
2408,1
2409,1
2410,1
2412,1
2414,1
2415,1
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,1
2424,2
2425,2
2426,2
2429,3
2430,4
2431,1
2432,1
2433,1
2434,9
2435,3
2438,5
2439,1
2440,1
2441,1
2442,1
2443,1
2444,1
2445,1
2446,1
2449,1
2450,1
2451,1
2452,1
2455,1
2456,1
2457,1
2464,3
2465,1
2472,6
2476,1
2477,5
2478,2
2479,1
2480,2
2486,5
2487,5
2491,1
2492,1
2494,5
2495,1
2496,1
2497,1
2498,1
2504,1
2505,2
2506,1
2507,5
2508,2
2509,1
2510,4
2511,2
2512,7
2513,2
2514,4
2515,4
2516,2
2517,1
2518,2
2519,11
2520,3
2521,3
2522,3
2523,3
2524,15
2527,1
2529,1
2530,2
2531,5
2532,9
2533,7
2534,1
2535,1
2536,2
2537,1
2538,1
2539,1
2540,1
2541,4
2542,1
2543,1
2544,1
2545,1
2546,4
2547,1
2549,1
2550,1
2551,1
2552,5
2553,4
2554,1
2555,1
2557,7
2558,4
2559,1
2561,10
2562,3
2563,5
2564,5
2565,5
2566,1
2568,2
2569,1
2570,1
2571,3
2572,2
2573,1
2574,1
2575,1
2576,2
2580,1
2581,2
2582,9
2585,6
2586,4
2587,5
2588,4
2590,2
2591,1
2592,3
2593,2
2595,1
2596,1
2597,1
2599,1
2603,1
2604,1
2605,1
2606,2
2609,2
2610,2
2611,2
2612,1
2613,1
2614,8
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,1
2628,2
2629,2
2630,2
2631,1
2632,1
2633,1
2634,1
2635,3
2636,3
2637,7
2638,7
2639,1
2640,1
2641,1
2642,1
2643,1
2644,2
2645,2
2646,2
2649,1
2650,1
2652,1
2653,2
2655,1
2656,1
2657,1
2658,1
2659,1
2660,1
2661,1
2662,1
2663,1
