LPTS_LPT_ID,EX_TITLE
2,Podniesienie rąk
2,Tupnij i klaśnij
3,"Wstanie, skłon, podskok"
3,Tupnij i klaśnij
7,Czytanie słów dwusylabowych z identycznych sylab
7,Czytanie słów dwusylabowych z różnych sylab
7,Czytanie słów trzysylabowych
7,czytanie różnych wyrazów
25,Klaśnij kucnij
40,Mieszko I i chrzest Polski
43,222
43,2- asdfjasdkljf
44,222
59,2- asdfjasdkljf
62,Bałwan (3 kulki)
62,Czytanie różnych wyrazów-
70,Idę
70,Chcę iść
70,Koniec
70,Przerwa
70,Poproszę przerwa
70,Poproszę o przerwę
70,Proszę przerwa
71,"""Po"""
72,"""Pomóż!"""
74,"""Pomóż mi w..."""
74,"""Pomóż mi!!"""
75,Wybór z dwóch konkretów: atrakcyjny/ nieatrakcyjny
75,Wybór konkretu zgodnego z zakomunikowanym wyborem
75,Wybór z dwóch atrakcyjnych konkretów
75,Wybór z dwóch obrazków: atrakcyjny/ nieatrakcyjny
75,Wybór z dwóch obrazków przedstawiających atrakcyjne wzmocnienia
75,Wybór z tablicy nagród
75,Wybór właściwej etykiety nagrody
83,A
84,I
85,E
86,O
87,U
88,Y
89,MA
90,PI
91,BU
92,TE
93,BA
94,AM
95,auto
96,mama
97,Picie
98,Foka
99,Loki
100,Baja
101,"""Daj am"""
102,"""Mam piła"""
103,Ide si
104,"""To mama"""
108,Oddaje nagrodę w reakcji na timer z podpowiedzią
108,Sam odkłada nagrodę
108,Sam odkłada nagrodę i wyłącza timer
108,Sam włącza i wyłącza timer po odłożeniu nagrody
108,Sam programuje timer
113,Proszę ołówek / linijkę / nożyczki
113,Proszenie o poczęstowanie /  pożyczenie przedmiotu
113,Proszę o kubek/ talerz/ łyżkę
113,Proszę o kartkę/ długopis/ gumkę
113,Proszę o zeszyt/ książkę/ piórnik
113,Proszę o klocek/ puzzel
121,"Reagowanie na imię, gdy nauczyciel znajduje się naprzeciwko, a uczeń nie jest zajety żadną aktywnością"
121,"Reagowanie na imię, gdy nauczyciel znajduje się  za uczniem, który nie jest zajęty żadną aktywnością"
121,"Reagowanie na imię, gdy nauczyciel znajduje się naprzeciwko ucznia, który jest zajęty nieatrakcyjną aktywnością"
121,"Reagowanie na imię, gdy nauczyciel znajduje się za uczniem, zajętym nieatrakcyjną aktywnością"
121,"Reagowanie na imię, gdy nauczyciel znajduje się naprzeciwko ucznia zajętego atrakcyjną aktywnością"
121,"Reagowanie na imię, gdy nauczyciel znajduje się za uczniem, zajętym atrakcyjną aktywnością"
121,"Reagowanie na imię, gdy nauczyciel znajduje się w tym samym pomieszczeniu, a uczeń zajęty jest nieatrakcyjna aktywnością"
121,"Reagowanie na imię, gdy nauczyciel znajduje się w tym samym pomieszczeniu, a uczeń zajęty jest atrakcyjną aktywnością"
121,"Reagowanie na imię, podczas zajęć grupowych, gdy uczniowie zajęci są nieatrakcyjną aktywnością"
121,"Reagowanie na imię, podczas zajęć grupowych, gdy uczniowie zajęci są atrakcyjną aktywnością"
125,„Gdzie jest?”
126,„Gdzie/ jak znajdę?”
127,„Jak dojść do?”
128,"""Gdzie jest?/ ""Gdzie/Ja znajdę""?/ ""Gdzie jak dojść do?"" - pytanie terapeuty"
128,"""Gdzie jest?""/ ""Gdzie/ jak znajdę?""/ Gdzie jak dojść do?"" - pytanie znanej osoby"
128,"""Gdzie jest?""/ ""Gdzie/ jak znajdę?""/ Gdzie jak dojść do?"" - pytanie obcej osoby"
142,Zagranie grzechotką/ Ubranie czapki/ Pomachanie chorągiewką
142,Włożenie łyżeczki do kubka/ Uderzenie w bębenek/ Popchnięcie autka 
145,Włożenie łyżeczki do kubka
146,Uderzenie w bębenek
147,Popchnięcie autka
148,Zagranie grzechotką
149,Ubranie czapki
150,Pomachanie chorągiewką
151,kreska pionowa
152,kreska pozioma
153,Krzyżyk
154,koło
155,kwadrat
156,Trójkąt
157,Słoneczko
158,Wałek
159,Kulka
160,Placek (rozgniecenie kulki)
161,Tort (placek + wbity patyczek)
162,Jeżyk (kulka + wbitych wiele patyczków)
163,Ślimak (przygotowanie wałka + zwinięcie go)
164,Bałwan (3 kulki)
165,"""Nabranie"" łyżeczką z talerza i nakarmienie misia/ Lulanie lali i odłożenie jej do wózka/ Zagranie grzechotką i uderzenie w bębenek"
166,""" Gdzie jest?"" / ""Gdzie/jak znajdę?"" / ""Gdzie/jak dojdę do?"" pytanie terapeuty"
166,"""Gdzie jest?"" / ""Gdzie/jak znajdę?"" / ""Gdzie/jak dojdę do?"" pytanie znanej osoby "
166,"""Gdzie jest?"" / ""Gdzie/jak znajdę?"" / ""Gdzie/jak dojdę do?"" pytanie obcej osoby"
167,Krzyżyk/ Kwadrat/ Trójkąt
167,Kreska pionowa/ pozioma/ koło
167,Słoneczko/ Lizak/ Domek
168,chodź
168,chodź pobaw!
168,chodż pobaw się ze mną!
168,proszę pobawmy się!
168,czy ... (imię) może pobawić się ze mną? - wyrażone do terapeuty
169,Daj...
169,pożycz
169,proszę pożycz mi...
170,daj!
170,daj mi!
170,proszę daj mi!
170,proszę poczęstuj mnie!
171,Wałek/ Kulka/ Placek (rozgniecenie kulki)
171,	Tort (placek + wbity patyczek)/ Jeżyk (kulka + wbitych kilka patyczków)/ Ślimak (wałek + zwinięcie go)
172,Wałek/ Kulka/ Placek (rozgniecenie kulki)
172,Imitacja kreska pionowa/ pozioma/koło z rysunku
172,	Imitacja kreska pionowa/ pozioma/koło z fotografii
173,Otwieranie ust
175,Podniesienie rąk
176,Uderzenie rękami w uda
177,Klaśnięcie
178,Wstanie
179,Wstanie i klaśnięcie
180,Tupnięcie i pomachanie
181,pogrożenie palcem
182,Dzióbek z palców
183,Dotykanie kolejno wszystkich palców
184,Machanie palcami
185,pomieszanie w kubku łyżeczką i nakarmienie misia
186,Prawa ręka na lewe ramię i lewa ręka do góry
187,Prawa noga uniesiona/ lewa ręka na głowie
188,Zamknięcie drzwi
189,Podejście i poklepanie ściany
190,Przełożenie klocka z oddalonego koszyka na stół
191,Podbięgnięcie do piłki i kopnięcie jej
193,Uśmiech/ Zmarszczenie brwi/ Zmarszczenie nosa
193,Przestrach/ Zmarszczenie brwi/ Smutek (opuszczenie kącików ust)
200,"""A"", ""E"", ""I"""
200,"""O"", ""U"", ""Y"""
201,"Auto, Mama, Picie"
201,"Foka, Loki, Baja"
202,"""Daj am!"", ""Mam piła!"", ""Ide si!"""
202,"""Mam buty"", ""To mama"", ""Ide hopa"""
203,"Nazywam się..., Lubię bawić się piłką, Mój kolega to..., Mam...lat, Pani ma auto"
204,"""Ma"" ""PI"" ""BU"""
204,"""TE"" ""BA"" ""AM"""
205,"mama, baba, tata"
205,"bum-bum, papa, lulu"
205,"KOKO, LALA, FEFE"
206,Marsz w miejscu/ podnoszenie ramion/ skłony
206,Karmienie misia/granie na bębenku/ podskoki
207,daj/mama/buty
207,bajka/proszę/idę
218,"Czekanie na terapeutę prowadzącego, który jest w zasięgu wzroku ucznia"
218,Czekanie na terapeutę prowadzącego który nie jest w zasięgu wzroku ucznia
219,Czekanie w diadzie
219,Czekanie w triadzie
220,Czekanie 10 s
220,Czekanie 20 s
220,Czekanie 3 s.
220,Czekanie 5 s.
220,Czekanie 15 s.
221,Czekanie w klasie
221,czekanie w łazience
227,Kucanie/ pajacyk/ klepanie się po głowie
227,"Podskoki/ pocieranie policzków/ unoszenie, opuszczanie rąk"
227,Obrót z rękami na biodrach/ skłony/ i poklepywanie brzucha
228,Skupienie uwagi
228,Patrzenie na nauczyciela
229,Kucanie/ pajacyk/ klepanie się po głowie
229,"Podskoki/ pocieranie policzków/ unoszenie, opuszczanie rąk"
229,Obrót z rękami na biodrach/ skłony/ i poklepywanie brzucha
230,Podskoki/ pocieranie policzków/ unoszenie i opuszczanie rąk
230,obrót z rękami na biodrach/skłony/poklepywanie brzucha
230,Kucanie/pajacyk/klepanie się po głowie
231,Kucanie/ pajacyk/ klepanie się po głowie
231,"Podskoki/ pocieranie policzków/ unoszenie, opuszczanie rąk"
231,Obrót z rękami na biodrach/ skłony/ i poklepywanie brzucha
232,Podskoki
232,Pocieranie policzków
232,unoszenie i opuszczanie rąk
233,Obrót z rękami na biodrach
233,skłony
233,poklepywanie brzucha
234,Kucanie
234,Pajacyk
234,klepanie się po głowie
235,Imitacja A
235,Imitacja E
235,Imitacja I
246,Na/ pod
246,za/ obok
246,Przed/ w
247,Na/ pod
247,za/ obok
247,Przed/ w
248,przeliczanie do 5
248,przeliczanie do 10
248,przeliczanie do 15
248,Przeliczanie do 20
249,identyfikowanie cyfr do 5
249,identyfkowanie cyfr do 10
249,identyfkowanie cyfr do 15
249,identyfikowanie cyfr do 20
250,dopasowywanie ilości do cyfry w zakresie do 5
250,dopasowywanie ilości do cyfry w zakresie do 10
250,dopasowywanie ilości do cyfry w zakresie do 15
250,dopasowywanie ilości do cyfry w zakresie do 20
251,"Tupnij, pomachaj"
252,"wstań, klaśnij"
257,Jest on task podczas pracy indywidualnej z terapeutą
258,Jest on task podczas pracy w diadzie
259,Jest on task podczas pracy w klasie
260,Dodawanie w zakresie 5
260,Dodawanie w zakresie 10
260,Dodawanie w zakresie 15
260,Dodawanie w zakresie 20
260,Odejmowanie w zakresie 5
260,odejmowanie w zakresie 10
260,Odejmowanie w zakresie 15
260,odejmowanie w zakresie 20
260,Mnożenie w zakresie 10
260,Mnożenie w zakresie 20
260,Dzielenie w zakresie 10
260,Dzielenie w zakresie 20
261,Zadania oparte na dodawaniu w zakresie do 10
261,Zadania oparte na dodawaniu w zakresie do 20
261,Zadania oparte na odejmowaniu w zakresie do 10
261,Zadania oparte na odejmowaniu w zakresie do 20
262,Na/ pod
262,za/ obok
262,Przed/ w
263,Na/ pod
263,za/ obok
263,Przed/ w
264,Na/ pod
264,za/ obok
264,Przed/ w
265,Na/ pod
265,za/ obok
265,Przed/ w
277,"Kolorowanie pojedynczego elementu, kontur o grubości 3 cm, obrazek do zakolorowania o grubości 1 cm"
277,"Kolorowanie pojedynczego elementu, kontur o grubości 2 cm, obrazek do zakolorowania o grubości 2 cm"
277,"Kolorowanie pojedynczego elementu, kontur o grubości 1 cm, obrazek do zakolorowania o grubości 3cm"
277,"Kolorowanie pojedynczego elementu, kontur o grubości 0,5 cm, obrazek do zakolorowania o grubości 4 cm"
277,"Kolorowanie  dwóch elementów, kontur o grubości 0,5 cm, obrazek do zakolorowania o grubości 4 cm"
277,"Kolorowanie  trzech elementów, kontur o grubości 0,5 cm, obrazek do zakolorowania o grubości 4 cm"
277,Kolorowanie obrazków wg kolorów oznaczonych na poszczególnych elementach
277,Kolorowanie wg legendy
278,Wykonywanie prac z użyciem kredek
278,Wykonywanie prac z użyciem pisaków
278,Wykonywanie prac z użyciem farby
278,Wyklejanie prac plastycznych plasteliną/ ciastoliną/ bibułą
279,"Rysowanie prostych wzorów: kółko, krzyżyk, kreska"
279,"Rysowanie prostych pojedynczych rysunków: balon, słońce, miś"
279,"Rysowanie prostych pojedynczych rysunków: lalka, dom, drzewo"
279,"Rysowanie prostych rysunków: auto, kot, płot"
279,Rysowanie obrazków składających się z dwóch elementów
279,Rysowanie obrazków składających się z trzech elementów
279,Rysowanie obrazków składających się z czterech i większej liczby elementów
280,Mierzenie przedmiotów o długości do 10 cm  linijką
280,Mierzenie przedmiotów o długości do 20 cm linijką
280,Mierzenie przedmiotów o długości do 50 cm linijką
280,Mierzenie przedmiotów o długości do 100 cm taśmą mierniczą
280,Mierzenie przedmiotów o długości do 100 cm metrem krawieckim
280,Mierzenie przedmiotów o długości powyżej 100 cm taśma mierniczą
280,Mierzenie przedmiotów o długości powyżej 100 cm metrem krawieckim
280,Odmierza  okresloną ilość wody do pojemnika
281,Odmierza 1 kg
281,"Odmierza 0,5 kg"
281,"Odmierza 0,25 kg"
282,Pełna godzina
282,Półgodzina
282,Kwadrans przed/ po
282,Dziesięć minut przed/ po
282,Dwadzieścia minut przed/ po
282,Dwadzieścia pięć minut przed/ po
282,Pięć minut przed/ po
283,Pełna godzina
283,Półgodzina
283,Kwadrans przed/ po
283,Dziesięć minut przed/ po
283,Dwadzieścia minut przed/ po
283,Dwadzieścia pięć minut przed/ po
283,Pięć minut przed/ po
284,Realizuje zadanie o danej godzinie z podpowiedzią
284,Realizuje zadanie o danej godzinie bez podpowiedzi
289,"""Jak masz na imię?"" / ""Ile masz lat?""/ ""Czy masz siostrę?""/ ""Gdzie mieszkasz?""/ ""Jak ma na imię Twoja Mama?"""
289,"""Jak ma na imię Twój Tata?"" /""Jaki jest twój adres?""/ ""Czy masz brata?""/ ""W jakiej szkole się uczysz?""/ "" Do której chodzisz klasy?"""
290,"""Wymień członków najbliższej Rodziny""/ ""Wymień 3 swoje zainteresowania""/ ""Powiedz jakimi środkami komunikacji możesz dojechać do szkoły"""
290,"""Wymień swoich kolegów z klasy""/ Wymień 5 nauczycieli z Twojej szkoły""/ ""Wymień 3 miejsca w których spędziłeś wakacje"""
291,Odpowiadanie na 1 pytanie
291,Odpowiadanie na 2 pytania
291,Odpowiadanie na 3 pytania
292,Podążanie za 1-elementową instrukcją 
292,Podążanie za 2-elementową instrukcją
292,Podążanie za 3-elementową instrukcją
293,1-3 dni tygodnia
293,1-5 dni tygodnia
293,1-7 dni tygodnia
294,1-3 dni tygodnia
294,1-5 dni tygodnia
294,1-7 dni tygodnia
295,1-3 miesiąc
295,1-6 miesiąc
295,1-9 miesiąc
295,1-12miesiąc
296,Identyfikowanie czterech pór roku
296,Nazywanie dwóch pór roku
297,Z wizualną podpowiedzią
297,Bez wizualnej podpowiedzi
298,1-3 miesiąc
298,1-6 miesiąc
298,1-9 miesiąc
298,1-12 miesiąc
299,Identyfikowanie dwóch pór roku
299,Identyfikowanie czterech pór roku
300,Pisze e- mail na podstawie instrukcji wizualnej
300,PIsze e-mail na podstawie częściowo wycofanej instrukcji wizulanej
300,Pisze e-mail samodzielnie bez instrukcji wizualnej
