LP_ID,LP_TITLE,DST_TITLE,POJ_TITLE,SCAT_TITLE,LMT_TITLE,LTE_TITLE,AT_TITLE,GDF_TITLE,LP_TRIAL_SEQUENCE,LP_TRIAL_HINTS,LP_START_CHECK_FORM,LP_START_CHECK_HINTS,LP_PASS_CRITERIA,LP_CLOSE_CRITERIA,LP_CLOSE_CRITERIA_PASS_COUNT,LP_VERIFICATION_PERIOD,LP_IOA_DEFINITION,LP_IOA_FREQUENCY,LP_MEASUREMENT_FREQUENCY,LP_MEASUREMENT_FREQUENCY_UNIT,LP_SPECIFIC_SOCIAL_AMPLIFICATIONS,LP_TEMPLATE,PLP_STATE,LPP_ID,min(SES_START_DATE),max(SES_START_DATE),diff,countofsession,sessioninweek,sessioninmonth
10,UKI/D Imitacja werbalna w zestawach,Ośrodkowy BIPET,Imitacja werbalna,Imitacja,pojedyncze zestawy - typ D,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-set,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,1,pending,10,2018-01-12 13:07:35,2019-05-21 17:41:43,16,5,0,0
76,Przykład 8,Ośrodkowy BIPET,Imitacja motoryczna,Imitacja,ćwiczenia w krokach - typ C,w próbach incydentalnych,brak,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,85,in-period,2,20,agree-to-full-ratio-unselected-interval,semester,1,day,0,0,pending,76,2018-04-22 18:21:57,2019-10-28 16:42:49,18,3,0,0
112,UKI/B - imitacja werbalna PhiWi,Ośrodkowy BIPET,Imitacja werbalna,Imitacja,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,70,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,112,2018-04-16 06:29:17,2019-09-05 07:27:37,16,39,1,2
117,P/C Układanie puzzli,Ośrodkowy BIPET,Układanie puzzli,Umiejętności przedszkolne,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,1,preparing,117,2019-12-18 08:11:17,2021-06-21 12:54:34,18,27,0,2
132,UKW/D - reakcja na timer Phi Wi,Ośrodkowy BIPET,Reagowanie na timer,Współpraca,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-period,2,90,agree-to-full-ratio,semester,1,week,0,0,suspended,132,2018-04-16 06:29:17,2020-09-29 07:02:59,29,62,0,2
133,UKW/A - podążanie za planem Phi Wi,Ośrodkowy BIPET,Podążanie za planem,Współpraca,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,0,pretest,1,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,pending,133,2018-04-16 06:29:17,2021-10-05 06:24:29,41,95,1,2
136,P/C - układanie Phi Wi ,Ośrodkowy BIPET,Układanie puzzli,Umiejętności przedszkolne,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,136,2018-04-25 06:24:20,2019-11-06 07:21:19,18,66,1,4
137,MKR/B- wykonywanie prostych poleceń Phi Wi,Ośrodkowy BIPET,Wykonywanie prostych poleceń,Rozumienie,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,80,in-a-row,3,90,agree-to-full-ratio,semester,1,week,1,0,pending,137,2018-04-16 06:29:17,2021-10-07 07:09:30,41,165,1,4
152,UKW/B utrzymywanie uwagi S Koz,Ośrodkowy BIPET,Utrzymywanie uwagi,Współpraca,pojedyncze ćwiczenia - typ B ,poprzez NET,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio-each-interval,semester,1,week,1,0,closed,152,2018-05-07 06:03:06,2019-10-02 05:47:27,16,27,0,2
153,S/E  liczenie ToLa,Ośrodkowy BIPET,liczenie,Umiejętności szkolne,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,153,2018-04-16 06:47:53,2021-10-05 06:58:34,41,172,1,4
