"SUM(TIMESTAMPDIFF(second ,SES_START_DATE,SES_END_DATE))",LP_LTE_ID,LTE_TITLE,TH_TITLE
206877405,1,w wyodrębnionych próbach ciągłych,gospodarka żetonowa
3566751695,2,w wyodrębnionych próbach nieciągłych,gospodarka żetonowa
6756903,5,łańcuchach przez całk. prezentację,gospodarka żetonowa
339102,6,w planie aktywności,gospodarka żetonowa
102097379,8,w próbach incydentalnych,gospodarka żetonowa
9563732,12,poprzez NET,gospodarka żetonowa
71766975,14,poprzez kształtowanie,gospodarka żetonowa
213235691,17,trening incydentalny,gospodarka żetonowa
115028783,24,w wyodrębnionych próbach,gospodarka żetonowa
34064522,26,uczenie w krokach-typ C,gospodarka żetonowa
187125308,40,poprzez DTT,gospodarka żetonowa
5243104,2,w wyodrębnionych próbach nieciągłych,komputer
25168447,2,w wyodrębnionych próbach nieciągłych,komunikator
21509622,14,poprzez kształtowanie,komunikator
2916216,17,trening incydentalny,komunikator
4543923,40,poprzez DTT,komunikator
1952581,2,w wyodrębnionych próbach nieciągłych,kontrakt
36284903,8,w próbach incydentalnych,kontrakt
6323790,12,poprzez NET,kontrakt
104997687,14,poprzez kształtowanie,kontrakt
13644950,16,poprzez kontrakt,kontrakt
6838224,17,trening incydentalny,kontrakt
11845959,24,w wyodrębnionych próbach,kontrakt
81029171,1,w wyodrębnionych próbach ciągłych,książka PECS/ IPAD
655983325,2,w wyodrębnionych próbach nieciągłych,książka PECS/ IPAD
495632,6,w planie aktywności,książka PECS/ IPAD
47677479,8,w próbach incydentalnych,książka PECS/ IPAD
13895181,12,poprzez NET,książka PECS/ IPAD
1798529,13,"z wykorzystaniem  kontraktu, obejmującego....",książka PECS/ IPAD
24415299,14,poprzez kształtowanie,książka PECS/ IPAD
743481258,17,trening incydentalny,książka PECS/ IPAD
111865544,18,trening incedentalny,książka PECS/ IPAD
24439712,24,w wyodrębnionych próbach,książka PECS/ IPAD
29185926,26,uczenie w krokach-typ C,książka PECS/ IPAD
9256783,32,w wyodrębnionych próbach nieciągłych i poprzez podpowiedzi wizualne,książka PECS/ IPAD
37448265,40,poprzez DTT,książka PECS/ IPAD
339102,6,w planie aktywności,plan aktywności
1798529,13,"z wykorzystaniem  kontraktu, obejmującego....",plan aktywności
13644950,16,poprzez kontrakt,plan aktywności
32313114,1,w wyodrębnionych próbach ciągłych,skrypty
327735762,2,w wyodrębnionych próbach nieciągłych,skrypty
6756903,5,łańcuchach przez całk. prezentację,skrypty
6559388,8,w próbach incydentalnych,skrypty
10045985,12,poprzez NET,skrypty
844006,13,"z wykorzystaniem  kontraktu, obejmującego....",skrypty
22012040,14,poprzez kształtowanie,skrypty
65671930,17,trening incydentalny,skrypty
5014108,1,w wyodrębnionych próbach ciągłych,"środowisko, tak, by miało szanse wywołać określone reakcje"
538801587,2,w wyodrębnionych próbach nieciągłych,"środowisko, tak, by miało szanse wywołać określone reakcje"
156530,6,w planie aktywności,"środowisko, tak, by miało szanse wywołać określone reakcje"
387559945,8,w próbach incydentalnych,"środowisko, tak, by miało szanse wywołać określone reakcje"
60409481,12,poprzez NET,"środowisko, tak, by miało szanse wywołać określone reakcje"
1798529,13,"z wykorzystaniem  kontraktu, obejmującego....","środowisko, tak, by miało szanse wywołać określone reakcje"
52529624,14,poprzez kształtowanie,"środowisko, tak, by miało szanse wywołać określone reakcje"
506577796,17,trening incydentalny,"środowisko, tak, by miało szanse wywołać określone reakcje"
107154038,18,trening incedentalny,"środowisko, tak, by miało szanse wywołać określone reakcje"
26223704,24,w wyodrębnionych próbach,"środowisko, tak, by miało szanse wywołać określone reakcje"
335925,40,poprzez DTT,"środowisko, tak, by miało szanse wywołać określone reakcje"
88456232,2,w wyodrębnionych próbach nieciągłych,tablet z filmem
1773183,17,trening incydentalny,tablet z filmem
4236705,40,poprzez DTT,tablet z filmem
296813364,1,w wyodrębnionych próbach ciągłych,wzmocnienia zgodne z ind. systemem wzm
4160761933,2,w wyodrębnionych próbach nieciągłych,wzmocnienia zgodne z ind. systemem wzm
3932055,5,łańcuchach przez całk. prezentację,wzmocnienia zgodne z ind. systemem wzm
236539627,8,w próbach incydentalnych,wzmocnienia zgodne z ind. systemem wzm
40987550,12,poprzez NET,wzmocnienia zgodne z ind. systemem wzm
1798529,13,"z wykorzystaniem  kontraktu, obejmującego....",wzmocnienia zgodne z ind. systemem wzm
189755343,14,poprzez kształtowanie,wzmocnienia zgodne z ind. systemem wzm
13644950,16,poprzez kontrakt,wzmocnienia zgodne z ind. systemem wzm
678189025,17,trening incydentalny,wzmocnienia zgodne z ind. systemem wzm
107154038,18,trening incedentalny,wzmocnienia zgodne z ind. systemem wzm
47299133,24,w wyodrębnionych próbach,wzmocnienia zgodne z ind. systemem wzm
34064522,26,uczenie w krokach-typ C,wzmocnienia zgodne z ind. systemem wzm
132293182,39,poprzez nauczanie intensywne,wzmocnienia zgodne z ind. systemem wzm
157891072,40,poprzez DTT,wzmocnienia zgodne z ind. systemem wzm
127886236,1,w wyodrębnionych próbach ciągłych,zestaw pomocy do danego zadania
5151806387,2,w wyodrębnionych próbach nieciągłych,zestaw pomocy do danego zadania
4739323,5,łańcuchach przez całk. prezentację,zestaw pomocy do danego zadania
156530,6,w planie aktywności,zestaw pomocy do danego zadania
65493894,8,w próbach incydentalnych,zestaw pomocy do danego zadania
26977983,12,poprzez NET,zestaw pomocy do danego zadania
163312044,14,poprzez kształtowanie,zestaw pomocy do danego zadania
13644950,16,poprzez kontrakt,zestaw pomocy do danego zadania
341640020,17,trening incydentalny,zestaw pomocy do danego zadania
4711506,18,trening incedentalny,zestaw pomocy do danego zadania
156206288,24,w wyodrębnionych próbach,zestaw pomocy do danego zadania
4878596,26,uczenie w krokach-typ C,zestaw pomocy do danego zadania
9256783,32,w wyodrębnionych próbach nieciągłych i poprzez podpowiedzi wizualne,zestaw pomocy do danego zadania
132293182,39,poprzez nauczanie intensywne,zestaw pomocy do danego zadania
192027445,40,poprzez DTT,zestaw pomocy do danego zadania
